Date,Close,Open,High,Low
2022-07-19,245.53,245.0,247.14,236.98
2022-07-20,247.5,246.78,250.66,243.48
2022-07-21,271.71,255.11,273.27,254.87
2022-07-22,272.24,276.22,280.79,270.71
2022-07-25,268.43,272.22,274.15,267.4
2022-07-26,258.86,266.51,267.31,256.26
2022-07-27,274.82,263.81,275.93,261.79
2022-07-28,280.9,280.07,283.3,272.8
2022-07-29,297.15,280.7,298.32,279.1
2022-08-01,297.28,301.27,311.88,295.0
2022-08-02,300.59,294.0,307.83,292.67
2022-08-03,307.4,305.0,309.55,301.15
2022-08-04,308.63,311.0,313.61,305.0
2022-08-05,288.17,302.67,304.61,285.54
2022-08-08,290.42,295.0,305.2,289.09
2022-08-09,283.33,290.29,292.4,279.35
2022-08-10,294.36,297.07,297.51,283.37
2022-08-11,286.63,296.51,298.24,285.83
2022-08-12,300.03,289.41,300.16,285.03
2022-08-15,309.32,301.79,313.13,301.23
2022-08-16,306.56,311.67,314.67,302.88
2022-08-17,304.0,303.4,309.66,300.03
2022-08-18,302.87,306.0,306.5,301.85
2022-08-19,296.67,299.0,300.36,292.5
2022-08-22,289.91,291.91,292.4,286.3
2022-08-23,296.45,291.45,298.83,287.92
2022-08-24,297.1,297.56,303.65,296.5
2022-08-25,296.07,302.36,302.96,291.6
2022-08-26,288.09,297.43,302.0,287.47
2022-08-29,284.82,282.83,287.74,280.7
2022-08-30,277.7,287.86,288.48,272.65
2022-08-31,275.61,280.62,281.25,271.81
2022-09-01,277.16,272.58,277.58,266.15
2022-09-02,270.21,281.07,282.35,269.08
2022-09-06,274.42,272.67,275.99,265.74
2022-09-07,283.7,273.1,283.84,272.27
2022-09-08,289.26,281.3,289.5,279.76
2022-09-09,299.68,291.67,299.85,291.24
2022-09-12,304.42,300.72,305.49,300.4
2022-09-13,292.13,292.9,297.4,290.4
2022-09-14,302.61,292.24,306.0,291.64
2022-09-15,303.75,301.83,309.12,300.72
2022-09-16,303.35,299.61,303.71,295.6
2022-09-19,309.07,300.09,309.84,297.8
2022-09-20,308.73,306.91,313.33,305.58
2022-09-21,300.8,308.29,313.8,300.63
2022-09-22,288.59,299.86,301.29,285.82
2022-09-23,275.33,283.09,284.5,272.82
2022-09-26,276.01,271.83,284.09,270.31
2022-09-27,282.94,283.84,288.67,277.51
2022-09-28,287.81,283.08,289.0,277.57
2022-09-29,268.21,282.76,283.65,265.78
2022-09-30,265.25,266.14,275.57,262.47
2022-10-03,242.4,254.5,255.16,241.01
2022-10-04,249.44,250.52,257.5,242.01
2022-10-05,240.81,245.01,246.67,233.27
2022-10-06,238.13,239.44,244.58,235.35
2022-10-07,223.07,233.93,234.57,222.02
2022-10-10,222.96,223.93,226.99,218.36
2022-10-11,216.5,220.95,225.75,215.0
2022-10-12,217.24,215.33,219.3,211.51
2022-10-13,221.72,208.3,222.99,206.22
2022-10-14,204.99,224.01,226.26,204.16
2022-10-17,219.35,210.04,221.86,209.45
2022-10-18,220.19,229.5,229.82,217.25
2022-10-19,222.04,219.8,222.93,217.78
2022-10-20,207.28,208.28,215.55,202.0
2022-10-21,214.44,206.41,214.66,203.8
2022-10-24,211.25,205.82,213.5,198.59
2022-10-25,222.41,210.1,224.35,210.0
2022-10-26,224.64,219.4,230.6,218.2
2022-10-27,225.09,229.77,233.81,222.85
2022-10-28,228.52,225.4,228.86,216.35
2022-10-31,227.54,226.19,229.85,221.94
2022-11-01,227.82,234.05,237.4,227.28
2022-11-02,214.98,226.04,227.87,214.82
2022-11-03,215.31,211.36,221.2,210.14
2022-11-04,207.47,222.6,223.8,203.08
2022-11-07,197.08,208.65,208.9,196.66
2022-11-08,191.3,194.02,195.2,186.75
2022-11-09,177.59,190.77,195.89,177.12
2022-11-10,190.72,189.9,191.0,180.03
2022-11-11,195.97,186.0,196.52,182.59
2022-11-14,190.95,192.77,195.73,186.34
2022-11-15,194.42,195.88,200.82,192.06
2022-11-16,186.92,191.51,192.57,185.66
2022-11-17,183.17,183.96,186.16,180.9
2022-11-18,180.19,185.05,185.19,176.55
2022-11-21,167.87,175.85,176.77,167.54
2022-11-22,169.91,168.63,170.92,166.18
2022-11-23,183.2,173.57,183.62,172.5
2022-11-25,182.86,185.06,185.2,180.63
2022-11-28,182.92,179.96,188.5,179.0
2022-11-29,180.83,184.99,186.38,178.75
2022-11-30,194.7,182.43,194.76,180.63
2022-12-01,194.7,197.08,198.92,191.8
